UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed,Deaths
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/9/2020,19,0
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/10/2020,25,0
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/11/2020,55,1
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/12/2020,95,1
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/13/2020,154,2
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/14/2020,269,4
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/15/2020,269,9
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/16/2020,463,18
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/17/2020,814,29
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/18/2020,1871,54
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/19/2020,3954,80
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/20/2020,5151,130
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/21/2020,7530,180
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/22/2020,9654,233
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/23/2020,12305,328
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/24/2020,14904,435
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/25/2020,17856,577
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/26/2020,21873,808
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/27/2020,25573,1066
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/28/2020,29776,1390
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/29/2020,33768,1744
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/30/2020,37453,2157
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",3/31/2020,43119,2626
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/1/2020,47439,3174
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/2/2020,51809,3837
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/3/2020,57159,4500
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/4/2020,63306,5196
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/5/2020,67551,5951
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/6/2020,72181,6749
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/7/2020,76876,7563
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/8/2020,81803,8331
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",4/9/2020,87028,9084
